segmented_commentText,Label
": O كاظم ي سوا كم بس انتم لان مقام ات ه ت درس فى ال جامع ات و انتم لا
",N
": سخط على ليكي
",P
"? . . مسائ كم سعيد يا شباب , ممكن حد ي قول لى اسم ال مذيع ه اللى ورد ت فى ال مقطع 2 من ال توب تن
",N
"؟ ؟ ؟ ؟ ؟ ؟ فهم و نا بس هو انشهر ب لبنان و لا ب ال كويت ؟ ؟ ؟ ؟ ؟ نحب ك ب زاف يا قيصر تحي ه من ال جزائر
",N
". انا ضد تصرف ات احلام بس لي ه اسب و اشتم وفى ال نهاي ه سيئ ات و محد درا عنى 😂 و نسي تم اهم نقط ه . . . . ال وسط ال فنى كل ه قذار ه و وساخ ه
",N
". . . . . . مضغوطيييييي ين 😂😂 كبر طم كم
",N
". . . . ! ! ! ! ؟ ؟ ؟ ؟ انتى ت ضحكى على ف ل ه . . . . ! ؟ ف ل ه صوت ها ماشاء الله علي ه ، ما ت لحقي هش حتى فى ال نص . . . ! ! ! ربى ي هدي ك . . . . ال ظاهر انتى اللى مذارى ت سكرى . . . ! ! ! ! ! !
",N
". ال يحجى ع كاظم ال ساهر نغل ي عنى ام ه جاب ت ه بل بوك ه ي احثال ه مجتمع ما توصل ون قندر ه كاظم
",P
". خخخخ ال ملك ه احلام في ها شذوذ شنو هل بوس و ال دلع مع شذا و الله عيب اطلع ت بوي ه احلام بس ب شعر خخخخخخخ
",P
". عاهر ه
",P
". ما ظل غير عاهر ه ت حكى ب ال سياس ه . . . ل عن الله زمن مات ت في ه ال رجال و اصبح ت ال عاهر ات في ه مثقف ات . . . . . الله ي رحم ك يا صدام حسين ال مجيد . .
",P
". مقرف ه
",P
"مقهور ين
",N
""" "" "" معرس "" "" غير "" "" معرص "" "" . . . "" "" معرس "" "" ب ال تونسى ي عنى "" "" متزوج "" "" ""
",N
""" "" "" موووحترم جييد ا ا "" "" 🙈 ""
",N
""" "" "" انا open mind "" "" ههههه ه مغرور ه و عنصر ي ه . الله ي هدي ها و ي هدي نا . ""
",N
"( ( ال قافل ه ت سير و ال كلاب تعوى ) ) ( ( سالو حكيم ل ماذا لا ت رد على من ي سيء اليك . . قال ليس من ال حكم ه ان اعظ كلب ا عظنى ) ) ( ( كلام ال ناس ك ال حجار ه اما ان ت ضع ه تحت قدم ك ف ي رفع ك او ت حمل ه على ظهر ك ف ي كسر ك ) ) و كاظم ي طبق نظر ي ه ( ( كن ك ال نخيل فى ال آفاق مرتفع ا ترمى ب صخر ا ت عطى اطيب ال ثمر ا ) )
",P
"( و من ت تبع عور ت اخي ه ت تبع الله عور ت ه و من ت تبع عور ت ه فضح ه و لو فى دار ه ) ! ! ! صار هم نا ال ناس وش سو وا وش قال وا و ن دخل ب ال نوايا كان نا منزه ين و كان اخلاق نا اخلاق ال ملائك ه . . استغفر الله ال عظيم و اتوب ال ي ه . . رب نا ل اتؤاخذ نا ب ما فعل ال سفهاء منا . . ارتق وا قليل ا و ين اخلاق ال مسلم ين ؟ ؟ ؟ ؟
",N
